1/1/2016 to 6/1/2017
Expense Category, Trans Date, Post Date, Merchant Name, Amount
"Miscellaneous","07/12/16","07/12/16","COMCAST OF NAPLES","150.87",
"Miscellaneous","07/12/16","07/12/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","07/12/16","07/12/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","07/16/16","07/17/16","INFLIGHT WI-FI - LTV","3.99",
"Miscellaneous","07/18/16","07/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","07/21/16","07/24/16","PGA TOUR SUPERSTORE #0","86.54",
"Miscellaneous","07/26/16","07/26/16","COMCAST OF NAPLES","107.06",
"Miscellaneous","07/28/16","07/28/16","Audible","14.95",
"Miscellaneous","07/28/16","07/29/16","SQ *PATTY'S SAUSAGE & HOT","16.50",
"Miscellaneous","07/30/16","07/31/16","WPY*Sophisticated Sistas","12.00",
"Miscellaneous","07/29/16","08/02/16","LEE COUNTY UTILITIES","60.00",
"Miscellaneous","08/01/16","08/02/16","A BEST FRIEND'S PET GR","70.00",
"Miscellaneous","08/03/16","08/03/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","08/04/16","08/05/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","08/08/16","08/10/16","ST. MATTHEWS HOUSE THRIFT","625.00",
"Miscellaneous","08/11/16","08/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","08/11/16","08/11/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","08/11/16","08/11/16","COMCAST OF NAPLES","105.75",
"Miscellaneous","08/11/16","08/11/16","COMCAST OF NAPLES","142.10",
"Miscellaneous","08/11/16","08/12/16","THE CONSIGNMENT GALLERY L","65.00",
"Miscellaneous","08/11/16","08/12/16","HAYNEEDLE INC","322.47",
"Miscellaneous","08/12/16","08/14/16","HAYNEEDLE INC","180.70",
"Miscellaneous","08/12/16","08/14/16","WEB*NETWORKSOLUTIONS","22.85",
"Miscellaneous","08/14/16","08/15/16","DreamHost  dh-fee.com","19.95",
"Miscellaneous","08/14/16","08/15/16","DreamHost  dh-fee.com","99.45",
"Miscellaneous","08/18/16","08/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","08/18/16","08/19/16","LEE COUNTY UTILITIES","60.00",
"Miscellaneous","08/20/16","08/21/16","COMCAST OF NAPLES","196.24",
"Miscellaneous","08/20/16","08/21/16","COMCAST OF NAPLES","107.74",
"Miscellaneous","08/22/16","08/23/16","USA*MINUTE KEY, INC.","6.36",
"Miscellaneous","08/22/16","08/23/16","USA*MINUTE KEY, INC.","6.36",
"Miscellaneous","08/26/16","08/26/16","COMCAST OF NAPLES","107.06",
"Miscellaneous","08/26/16","08/28/16","IN *PERFECT CONNECTIONS E","135.00",
"Miscellaneous","08/28/16","08/28/16","Audible","14.95",
"Miscellaneous","08/29/16","08/30/16","DreamHost  dh-fee.com","-119.40",
"Miscellaneous","09/03/16","09/04/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","09/02/16","09/04/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","09/04/16","09/05/16","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","09/11/16","09/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","09/09/16","09/11/16","WEB*NETWORKSOLUTIONS","11.97",
"Miscellaneous","09/11/16","09/11/16","COMCAST OF NAPLES","105.75",
"Miscellaneous","09/11/16","09/11/16","COMCAST OF NAPLES","148.76",
"Miscellaneous","09/11/16","09/11/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","09/13/16","09/14/16","A BEST FRIEND'S PET GR","500.00",
"Miscellaneous","09/18/16","09/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","09/19/16","09/20/16","WALMART.COM 8009666546","317.99",
"Miscellaneous","09/22/16","09/23/16","TARGET        00023697","51.98",
"Miscellaneous","09/28/16","09/28/16","Audible","14.95",
"Miscellaneous","09/28/16","09/29/16","TARGET        00023697","12.80",
"Miscellaneous","09/28/16","09/30/16","COST PLUS WLD #244","29.98",
"Miscellaneous","09/29/16","09/30/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","09/28/16","09/30/16","COST PLUS WLD #244","36.85",
"Miscellaneous","09/29/16","09/30/16","PAYPAL *OWO","274.00",
"Miscellaneous","09/29/16","10/02/16","WAYFAIR*Wayfair","168.19",
"Miscellaneous","10/01/16","10/02/16","DILLARD'S 218 COCONUT POI","59.52",
"Miscellaneous","10/01/16","10/02/16","DILLARD'S 218 COCONUT POI","136.96",
"Miscellaneous","10/02/16","10/03/16","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","10/03/16","10/03/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","10/05/16","10/07/16","DOLLAR-GENERAL #1451","19.97",
"Miscellaneous","10/07/16","10/09/16","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","10/09/16","10/10/16","QUIBIDS.COM","60.00",
"Miscellaneous","10/11/16","10/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","10/10/16","10/11/16","THE TIRE RACK","650.12",
"Miscellaneous","10/11/16","10/11/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","10/11/16","10/11/16","COMCAST OF NAPLES","96.53",
"Miscellaneous","10/11/16","10/11/16","COMCAST OF NAPLES","105.75",
"Miscellaneous","10/12/16","10/13/16","A BEST FRIEND'S PET GR","500.00",
"Miscellaneous","10/18/16","10/18/16","COMCAST OF NAPLES","9.96",
"Miscellaneous","10/18/16","10/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","10/19/16","10/20/16","WALMART.COM","49.00",
"Miscellaneous","10/19/16","10/20/16","Netflix.com","12.71",
"Miscellaneous","10/28/16","10/28/16","Audible","14.95",
"Miscellaneous","10/27/16","10/28/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","10/28/16","10/30/16","TARGET        00023697","68.53",
"Miscellaneous","10/30/16","10/31/16","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","10/31/16","11/02/16","PAYPAL *OWO","259.00",
"Miscellaneous","11/03/16","11/03/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","11/04/16","11/06/16","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","11/03/16","11/06/16","SEARS ROEBUCK   7435","83.74",
"Miscellaneous","11/09/16","11/10/16","WALMART.COM 8009666546","646.57",
"Miscellaneous","11/11/16","11/11/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","11/10/16","11/11/16","PAYPAL *JETIMPEXINC","193.00",
"Miscellaneous","11/11/16","11/11/16","COMCAST OF NAPLES","59.91",
"Miscellaneous","11/11/16","11/11/16","COMCAST OF NAPLES","130.17",
"Miscellaneous","11/11/16","11/11/16","COMCAST OF NAPLES","105.75",
"Miscellaneous","11/14/16","11/15/16","WALMART.COM 8009666546","649.62",
"Miscellaneous","11/15/16","11/17/16","ST. MATTHEWS HOUSE THRIFT","1908.00",
"Miscellaneous","11/18/16","11/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","11/18/16","11/18/16","COMCAST OF NAPLES","16.19",
"Miscellaneous","11/19/16","11/21/16","PAYPAL *NETFLIX.COM","12.71",
"Miscellaneous","11/21/16","11/23/16","THE BARKER LOUNGE","105.00",
"Miscellaneous","11/23/16","11/24/16","WALMART.COM 8009666546","931.14",
"Miscellaneous","11/24/16","11/25/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","11/26/16","11/27/16","WALMART.COM 8009666546","173.59",
"Miscellaneous","11/26/16","11/27/16","COMCAST OF NAPLES","195.44",
"Miscellaneous","11/26/16","11/28/16","b-uy.net","266.78",
"Miscellaneous","11/27/16","11/28/16","YEXT   *POWERLISTINGS","199.00",
"Miscellaneous","11/27/16","11/28/16","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","11/28/16","11/28/16","Audible","14.95",
"Miscellaneous","11/29/16","11/30/16","WALMART.COM","164.41",
"Miscellaneous","11/29/16","12/01/16","THE BARKER LOUNGE","60.00",
"Miscellaneous","12/01/16","12/02/16","WALMART.COM 8009666546","11.65",
"Miscellaneous","12/03/16","12/04/16","COMCAST OF NAPLES","133.65",
"Miscellaneous","12/01/16","12/04/16","PAYPAL *OWO","259.00",
"Miscellaneous","12/02/16","12/04/16","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","12/05/16","12/07/16","THE BARKER LOUNGE","210.00",
"Miscellaneous","12/11/16","12/11/16","COMCAST OF NAPLES","138.37",
"Miscellaneous","12/11/16","12/11/16","COMCAST OF NAPLES","67.07",
"Miscellaneous","12/11/16","12/11/16","COMCAST OF NAPLES","66.57",
"Miscellaneous","12/10/16","12/11/16","PAYPAL *IZIVOGUELIM","285.98",
"Miscellaneous","12/09/16","12/11/16","PAYPAL *SASSYLACEWI","369.00",
"Miscellaneous","12/11/16","12/11/16","COMCAST OF NAPLES","105.75",
"Miscellaneous","12/09/16","12/12/16","THE BARKER LOUNGE","93.00",
"Miscellaneous","12/11/16","12/12/16","H&M ONLINE GIFT CARDS971","150.00",
"Miscellaneous","12/15/16","12/16/16","WALMART.COM 8009666546","649.62",
"Miscellaneous","12/18/16","12/18/16","COMCAST OF NAPLES","134.87",
"Miscellaneous","12/18/16","12/18/16","COMCAST OF NAPLES","16.19",
"Miscellaneous","12/15/16","12/18/16","HABITAT RESTORE","430.68",
"Miscellaneous","12/15/16","12/18/16","HABITAT RESTORE","89.88",
"Miscellaneous","12/15/16","12/18/16","HABITAT RESTORE","1996.30",
"Miscellaneous","12/19/16","12/20/16","PAYPAL *NETFLIX.COM","12.71",
"Miscellaneous","12/19/16","12/21/16","PAYPAL *OWO","259.00",
"Miscellaneous","12/21/16","12/22/16","USPS PO 1622080515","6.45",
"Miscellaneous","12/20/16","12/22/16","THE BARKER LOUNGE","260.70",
"Miscellaneous","12/21/16","12/23/16","THE BARKER LOUNGE","61.00",
"Miscellaneous","12/22/16","12/23/16","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","12/21/16","12/23/16","PGA TOUR SUPERSTORE #0","21.62",
"Miscellaneous","12/26/16","12/26/16","COMCAST OF NAPLES","156.14",
"Miscellaneous","12/25/16","12/26/16","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","12/23/16","12/26/16","THE BARKER LOUNGE","57.00",
"Miscellaneous","12/28/16","12/28/16","Audible","14.95",
"Miscellaneous","12/28/16","12/29/16","TARGET        00023697","70.77",
"Miscellaneous","12/30/16","01/01/17","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","12/31/16","01/03/17","THE BARKER LOUNGE","126.00",
"Miscellaneous","01/03/17","01/03/17","COMCAST OF NAPLES","129.58",
"Miscellaneous","01/02/17","01/04/17","THE BARKER LOUNGE","40.00",
"Miscellaneous","01/03/17","01/05/17","ULTA #151","84.50",
"Miscellaneous","01/04/17","01/05/17","SUNBIZ.ORG / FL. FILIN","160.00",
"Miscellaneous","01/04/17","01/05/17","SUNBIZ.ORG / FL. FILIN","138.75",
"Miscellaneous","01/06/17","01/06/17","COMCAST OF CAPE CORAL","142.93",
"Miscellaneous","01/06/17","01/06/17","COMCAST OF CAPE CORAL","241.60",
"Miscellaneous","01/09/17","01/11/17","THE BARKER LOUNGE","249.00",
"Miscellaneous","01/09/17","01/11/17","HABITAT RESTORE","713.69",
"Miscellaneous","01/11/17","01/11/17","COMCAST OF NAPLES","116.97",
"Miscellaneous","01/09/17","01/11/17","HABITAT RESTORE","14.98",
"Miscellaneous","01/11/17","01/11/17","COMCAST OF NAPLES","65.47",
"Miscellaneous","01/11/17","01/11/17","COMCAST OF NAPLES","82.68",
"Miscellaneous","01/10/17","01/12/17","PAYPAL *OWO","463.00",
"Miscellaneous","01/11/17","01/13/17","FL TAG/LICENSE/ASMT","56.10",
"Miscellaneous","01/13/17","01/15/17","TARGET        00008177","251.40",
"Miscellaneous","01/14/17","01/16/17","TARGET        00008177","512.25",
"Miscellaneous","01/18/17","01/18/17","COMCAST OF CAPE CORAL","256.46",
"Miscellaneous","01/18/17","01/18/17","COMCAST OF NAPLES","143.76",
"Miscellaneous","01/18/17","01/18/17","COMCAST OF NAPLES","196.40",
"Miscellaneous","01/18/17","01/20/17","THE BARKER LOUNGE","56.00",
"Miscellaneous","01/19/17","01/20/17","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","01/19/17","01/20/17","PAYPAL *NETFLIX.COM","12.71",
"Miscellaneous","01/21/17","01/22/17","PAYPAL *OWO","259.00",
"Miscellaneous","01/22/17","01/23/17","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","01/22/17","01/24/17","LEE COUNTY UTILITIES","22.40",
"Miscellaneous","01/23/17","01/24/17","LEE COUNTY UTILITIES","22.40",
"Miscellaneous","01/22/17","01/24/17","LEE COUNTY UTILITIES","19.13",
"Miscellaneous","01/22/17","01/24/17","LEE COUNTY UTILITIES","25.67",
"Miscellaneous","01/23/17","01/24/17","WALMART.COM","646.57",
"Miscellaneous","01/26/17","01/26/17","COMCAST OF CAPE CORAL","98.58",
"Miscellaneous","01/24/17","01/26/17","THE BARKER LOUNGE","171.00",
"Miscellaneous","01/26/17","01/26/17","COMCAST OF NAPLES","164.82",
"Miscellaneous","01/27/17","01/29/17","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","01/28/17","01/29/17","Audible","14.95",
"Miscellaneous","01/27/17","01/30/17","THE BARKER LOUNGE","60.00",
"Miscellaneous","01/29/17","01/30/17","TARGET        00008177","144.99",
"Miscellaneous","01/31/17","01/31/17","COMCAST OF NAPLES","100.00",
"Miscellaneous","02/01/17","02/02/17","BRIGHT HOUSE NETWORKS","295.85",
"Miscellaneous","02/03/17","02/03/17","COMCAST OF NAPLES","200.40",
"Miscellaneous","02/04/17","02/05/17","TARGET        00008177","152.93",
"Miscellaneous","02/04/17","02/05/17","BRIGHT HOUSE NETWORKS","200.83",
"Miscellaneous","02/03/17","02/05/17","WALMART.COM","-49.00",
"Miscellaneous","02/07/17","02/08/17","SUPERIOR POOL - 413A","405.04",
"Miscellaneous","02/07/17","02/09/17","THE BARKER LOUNGE","271.00",
"Miscellaneous","02/11/17","02/12/17","COMCAST OF NAPLES","116.97",
"Miscellaneous","02/11/17","02/12/17","COMCAST OF NAPLES","65.47",
"Miscellaneous","02/11/17","02/12/17","COMCAST OF NAPLES","94.15",
"Miscellaneous","02/15/17","02/16/17","PAYPAL *OWO","229.00",
"Miscellaneous","02/18/17","02/19/17","COMCAST OF CAPE CORAL","88.00",
"Miscellaneous","02/18/17","02/19/17","COMCAST OF NAPLES","143.76",
"Miscellaneous","02/18/17","02/19/17","COMCAST OF NAPLES","178.28",
"Miscellaneous","02/19/17","02/20/17","PAYPAL *NETFLIX.COM","12.71",
"Miscellaneous","02/22/17","02/22/17","COMCAST OF CAPE CORAL","316.34",
"Miscellaneous","02/20/17","02/22/17","THE BARKER LOUNGE","432.20",
"Miscellaneous","02/26/17","02/26/17","COMCAST OF CAPE CORAL","121.15",
"Miscellaneous","02/26/17","02/26/17","COMCAST OF CAPE CORAL","12.00",
"Miscellaneous","02/26/17","02/26/17","COMCAST OF NAPLES","164.82",
"Miscellaneous","02/26/17","02/27/17","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","02/28/17","02/28/17","Audible","14.95",
"Miscellaneous","03/03/17","03/03/17","COMCAST OF NAPLES","137.45",
"Miscellaneous","03/03/17","03/03/17","COMCAST","250.18",
"Miscellaneous","03/08/17","03/10/17","THE BARKER LOUNGE","101.00",
"Miscellaneous","03/09/17","03/10/17","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","03/11/17","03/12/17","COMCAST OF NAPLES","24.69",
"Miscellaneous","03/11/17","03/12/17","COMCAST OF NAPLES","65.47",
"Miscellaneous","03/11/17","03/12/17","COMCAST OF NAPLES","116.97",
"Miscellaneous","03/13/17","03/14/17","WEB*NETWORKSOLUTIONS","95.96",
"Miscellaneous","03/15/17","03/16/17","PAYPAL *IMPROVEPRES","33.99",
"Miscellaneous","03/15/17","03/16/17","PAYPAL *IMPROVEPRES","33.99",
"Miscellaneous","03/16/17","03/17/17","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","03/18/17","03/19/17","COMCAST OF CAPE CORAL","98.58",
"Miscellaneous","03/19/17","03/19/17","COMCAST OF NAPLES","339.96",
"Miscellaneous","03/18/17","03/19/17","COMCAST OF NAPLES","153.92",
"Miscellaneous","03/18/17","03/19/17","COMCAST OF NAPLES","143.76",
"Miscellaneous","03/19/17","03/20/17","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","03/19/17","03/20/17","PAYPAL *NETFLIX.COM","12.71",
"Miscellaneous","03/19/17","03/21/17","THE BARKER LOUNGE","265.00",
"Miscellaneous","03/26/17","03/26/17","COMCAST OF NAPLES","164.82",
"Miscellaneous","03/26/17","03/26/17","COMCAST OF CAPE CORAL","102.45",
"Miscellaneous","03/26/17","03/26/17","COMCAST OF CAPE CORAL","108.58",
"Miscellaneous","03/25/17","03/26/17","COMCAST","229.54",
"Miscellaneous","03/24/17","03/26/17","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","03/23/17","03/26/17","THE BARKER LOUNGE","186.00",
"Miscellaneous","03/28/17","03/28/17","Audible","14.95",
"Miscellaneous","03/27/17","04/02/17","1855-861-4803 PSL","76.00",
"Miscellaneous","03/31/17","04/02/17","GRAY TAXIDERMY INC","873.00",
"Miscellaneous","04/05/17","04/05/17","COMCAST/XFINITY","137.45",
"Miscellaneous","04/06/17","04/07/17","SQ *GOSQ.COM TRACEY MOSLE","520.00",
"Miscellaneous","04/06/17","04/07/17","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","04/08/17","04/09/17","PAYPAL *PADDLE.COM","29.00",
"Miscellaneous","04/08/17","04/09/17","PAYPAL *PADDLE.COM","12.00",
"Miscellaneous","04/06/17","04/09/17","THE BARKER LOUNGE","232.00",
"Miscellaneous","04/08/17","04/10/17","TARGET        00019745","120.20",
"Miscellaneous","04/11/17","04/11/17","COMCAST/XFINITY","116.97",
"Miscellaneous","04/11/17","04/11/17","COMCAST/XFINITY","45.55",
"Miscellaneous","04/11/17","04/11/17","COMCAST/XFINITY","67.70",
"Miscellaneous","04/12/17","04/13/17","WALMART.COM","185.19",
"Miscellaneous","04/12/17","04/13/17","WALMART.COM","185.19",
"Miscellaneous","04/13/17","04/14/17","SQ *GOSQ.COM TRACEY MOSLE","200.00",
"Miscellaneous","04/13/17","04/14/17","WEB*NETWORKSOLUTIONS","23.94",
"Miscellaneous","04/13/17","04/14/17","YEXT   *POWERLISTINGS","199.00",
"Miscellaneous","04/13/17","04/14/17","YEXT   *POWERLISTINGS","199.00",
"Miscellaneous","04/13/17","04/14/17","YEXT   *POWERLISTINGS","199.00",
"Miscellaneous","04/13/17","04/14/17","HOMEAWAY US","549.00",
"Miscellaneous","04/16/17","04/17/17","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","04/18/17","04/18/17","COMCAST/XFINITY","143.75",
"Miscellaneous","04/18/17","04/18/17","COMCAST/XFINITY","98.61",
"Miscellaneous","04/15/17","04/18/17","THE BARKER LOUNGE","293.60",
"Miscellaneous","04/19/17","04/20/17","PAYPAL *USPS","70.45",
"Miscellaneous","04/19/17","04/20/17","PAYPAL *NETFLIX.COM","12.71",
"Miscellaneous","04/21/17","04/23/17","WEB*NETWORKSOLUTIONS","16.47",
"Miscellaneous","04/21/17","04/24/17","CAPE COMMUNITY PARTNERS T","225.00",
"Miscellaneous","04/21/17","04/24/17","CAPE COMMUNITY PARTNERS T","250.00",
"Miscellaneous","04/21/17","04/26/17","CAPE COMMUNITY PARTNERS T","-250.00",
"Miscellaneous","04/28/17","04/28/17","Audible","14.95",
"Miscellaneous","04/13/17","05/02/17","YEXT   *POWERLISTINGS","-199.00",
"Miscellaneous","04/13/17","05/02/17","YEXT   *POWERLISTINGS","-199.00",
"Miscellaneous","05/02/17","05/03/17","BRIGHT HOUSE NETWORKS","129.72",
"Miscellaneous","05/05/17","05/05/17","COMCAST/XFINITY","138.84",
"Miscellaneous","05/04/17","05/05/17","WEB*NETWORKSOLUTIONS","6.99",
"Miscellaneous","05/06/17","05/07/17","COMCAST/XFINITY","102.28",
"Miscellaneous","05/06/17","05/07/17","GRASSHOPPER LLC","127.24",
"Miscellaneous","05/06/17","05/07/17","COMCAST/XFINITY","61.71",
"Miscellaneous","05/08/17","05/09/17","PAYPAL *PADDLE.COM","12.00",
"Miscellaneous","05/08/17","05/10/17","SEPHORA 434","135.68",
"Miscellaneous","05/09/17","05/10/17","PAYPAL *PADDLE.COM","59.00",
"Miscellaneous","05/11/17","05/11/17","COMCAST/XFINITY","67.71",
"Miscellaneous","05/11/17","05/11/17","COMCAST/XFINITY","123.76",
"Miscellaneous","05/11/17","05/11/17","COMCAST/XFINITY","45.55",
"Miscellaneous","05/15/17","05/17/17","PAYPAL *PADDLE.COM","79.00",
"Miscellaneous","05/20/17","05/21/17","JCPENNEY 1862","137.80",
"Miscellaneous","05/19/17","05/21/17","PAYPAL *NETFLIX.COM","12.71",
"Miscellaneous","05/19/17","05/22/17","THE BARKER LOUNGE","978.50",
