ID,Property Information copy,Tenant Orders,Images,Property Type,Marketing Type,Status,Availability,Community,Neighborhood,Company,Location,HOA,HOA Application Cost/Person, Annual Rent , Seasonal Jan - Mar , Off Seasonal April - Dec , Standard Seasonal weekly  , Standard Seasonal daily , Off Seasonal weekly , Off Seasonal daily,Guest List
11,"19117 Harbour Tree Ct, 37L, Lakefairways, North Fort Myers 33903",,,Manufactured Home,,,No,,Lake Fairways,ELS,North Fort Myers,,,"$1,300.00","$2,500.00","$1,200.00",$577.37,$357.14,$277.14,$171.43,
12,"19219 Meadowbrook, 41L, Lakefairways, North Fort Myers 33903",,,Manufactured Home,,,No,,Lake Fairways,ELS,North Fort Myers,,,"$1,300.00","$2,500.00","$1,200.00",$577.37,$357.14,$277.14,$171.43,
13,"Lake Fairways-39A - 19144 Harbour Tree Ct 39A N.Fort Myers, FL 33903",,,Manufactured Home,,,No,,Lake Fairways,ELS,North Fort Myers,,,"$1,200.00","$2,500.00","$1,000.00",$577.37,$357.14,$230.95,$142.86,
14,"San Simeon 3862 - 3862 Cherrybrook Loop Fort Myers, FL 33966",,,Townhome,,,No,,San Simeon,,Fort Myers,,,"$1,500.00","$3,500.00","$1,200.00",$808.31,$500.00,$277.14,$171.43,
15,"Stoneybrook - 9440 ivy Brook Run 508 Fort Myers, FL 33913",,,Townhome,,,No,,Stoneybrook,,Fort Myers,,,"$1,400.00","$3,000.00","$1,200.00",$692.84,$428.57,$277.14,$171.43,
16,"Summerwind - 103 - 12141 Summergate Circle 103 Fort Myers, FL 33913",,,Manufactured Home,,,No,Gateway,Summerwind,,Fort Myers,,,"$1,400.00","$3,000.00","$1,200.00",$692.84,$428.57,$277.14,$171.43,
17,"Summerwind - 202 - 12181 Summergate Circle 202 Fort Myers, FL 33913",,,Manufactured Home,,,No,Gateway,Summerwind,,Fort Myers,,,"$1,400.00","$3,000.00","$1,200.00",$692.84,$428.57,$277.14,$171.43,
18,"Summerwind - 203 - 12069 Summergate Circle 203 Fort Myers, FL 33913",,,Manufactured Home,,,No,Gateway,Summerwind,,Fort Myers,,,"$1,400.00","$3,000.00","$1,200.00",$692.84,$428.57,$277.14,$171.43,
19,"Summerwind - 204 - 12069 Summergate Circle 204 Fort Myers, FL 33913",,,Manufactured Home,,,No,Gateway,Summerwind,,Fort Myers,,,"$1,400.00","$3,000.00","$1,200.00",$692.84,$428.57,$277.14,$171.43,
20,"Summerwind-101 - 12069 Summergate Circle 101 Fort Myers, FL 33913",,,Manufactured Home,,,No,Gateway,Summerwind,,Fort Myers,,,"$1,400.00","$3,000.00","$1,200.00",$692.84,$428.57,$277.14,$171.43,
21,"5 Galena Ct, Jamaica Bay, Fort Myers 33909",,,Manufactured Home,,,No,,Jamaica Bay,,Fort Myers,,,"$1,200.00","$2,500.00","$1,000.00",$577.37,$357.14,$230.95,$142.86,
22,"Tara Woods 292 - 2893 Steamboat Loop North Fort Myers, FL 33917",,,Manufactured Home,,,No,,Tarawoods,Hometown America,North Fort Myers,,,"$1,400.00","$2,800.00","$1,200.00",$646.65,$400.00,$277.14,$171.43,
23,Leased Properties,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
24,"Pine Lakes-31M - 10861 Circle Pine Rd 31M N. Fort Myers, FL 33903",,,Manufactured Home,,,No,,Pine Lakes,,North Fort Myers,,,,,,$0.00,$0.00,$0.00,$0.00,
25,"Pine Lakes-51I - 19418 Saddlebrook Ct 51I N. Fort Myers, FL 33903",,,Manufactured Home,,,No,,Pine Lakes,,North Fort Myers,,,,,,$0.00,$0.00,$0.00,$0.00,
26,"Lake Fairways-41L - 19219 Meadow Brook North Fort Myers, DE 33903",,,Manufactured Home,,,No,,Lake Fairways,,North Fort Myers,,,,,,$0.00,$0.00,$0.00,$0.00,
27,"Lake Fairways-4N - 19433 Bermuda Ct 4N N.Fort Myers, FL 33903",,,Manufactured Home,,,No,,Lake Fairways,,North Fort Myers,,,,,,$0.00,$0.00,$0.00,$0.00,
28,"Lake Fairways -53L - 19304 Tuckaway Ct 53L N. Fort Myers, FL 33903",,,Manufactured Home,,,No,,Lake Fairways,,North Fort Myers,,,,,,$0.00,$0.00,$0.00,$0.00,
29,"Lake Fairways 57J - 975 Spyglass Ct 57J N. Fort Myers, FL 33903",,,Manufactured Home,,,No,,Lake Fairways,,North Fort Myers,,,,,,$0.00,$0.00,$0.00,$0.00,
30,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
31,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
32,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
33,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
34,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
35,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
36,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
37,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
38,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
39,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
40,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
41,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
42,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
43,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
44,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
45,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
46,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
47,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
48,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
49,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
50,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
51,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
52,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
53,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
54,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
55,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
56,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
57,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
58,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
59,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
60,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
61,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
62,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
63,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
64,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
65,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
66,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
67,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
68,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
69,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
70,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
71,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
72,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
73,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
74,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
75,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
76,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
77,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
78,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
79,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
80,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
81,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
82,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
83,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
84,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
85,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
86,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
87,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
88,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
89,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
90,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
91,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
92,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
93,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
94,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
95,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
96,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
97,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
98,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
99,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
100,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
101,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
102,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
103,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
104,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
105,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
106,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
107,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
108,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
109,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
110,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
111,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
112,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
113,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
114,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
115,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
116,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
117,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
118,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
119,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
120,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
121,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
122,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
123,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
124,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
125,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
126,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
127,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
128,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
129,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
130,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
131,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
132,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
133,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
134,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
135,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
136,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
137,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
138,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
139,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
140,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
141,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
142,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
143,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
144,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
145,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
146,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
147,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
148,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
149,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
150,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
151,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
152,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
153,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
154,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
155,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
156,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
157,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
158,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
159,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
160,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
161,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
162,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
163,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
164,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
165,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
166,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
167,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
168,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
169,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
170,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
171,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
172,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
173,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
174,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
175,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
176,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
177,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
178,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
179,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
180,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
181,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
182,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
183,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
184,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
185,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
186,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
187,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
188,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
189,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
190,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
191,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
192,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
193,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
194,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
195,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
196,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
197,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
198,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
199,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
200,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
201,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
202,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
203,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
204,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
205,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
206,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
207,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
208,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
209,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
210,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
211,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
212,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
213,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
214,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
215,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
216,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
217,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
218,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
219,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
220,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
221,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
222,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
223,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
224,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
225,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
226,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
227,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
228,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
229,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
230,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
231,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
232,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
233,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
234,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
235,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
236,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
237,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
238,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
239,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
240,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
241,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
242,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
243,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
244,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
245,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
246,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
247,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
248,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
249,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
250,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
251,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
252,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
253,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
254,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
255,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
256,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
257,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
258,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
259,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
260,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
261,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
262,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
263,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
264,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
265,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
266,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
267,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
268,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
269,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
270,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
271,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
272,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
273,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
274,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
275,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
276,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
277,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
278,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
279,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
280,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
281,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
282,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
283,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
284,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
285,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
286,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
287,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
288,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
289,,,,,,,No,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,
